Población ocupada
,Periodo encuesta : Cuarto trimestre del 2025
,

Consulta de: Población ocupada   Por: Edad   Según: Nivel de ingresos y Sexo
 , Total, Total, Total, Hasta un salario mínimo, Hasta un salario mínimo, Hasta un salario mínimo, Más de 1 hasta 2 salarios mínimos, Más de 1 hasta 2 salarios mínimos, Más de 1 hasta 2 salarios mínimos, Más de 2 hasta 3 salarios mínimos, Más de 2 hasta 3 salarios mínimos, Más de 2 hasta 3 salarios mínimos, Más de 3 hasta 5 salarios mínimos, Más de 3 hasta 5 salarios mínimos, Más de 3 hasta 5 salarios mínimos, Más de 5 salarios mínimos, Más de 5 salarios mínimos, Más de 5 salarios mínimos, No recibe ingresos, No recibe ingresos, No recibe ingresos, No especificado, No especificado, No especificado
 , Total, Hombre, Mujer, Total, Hombre, Mujer, Total, Hombre, Mujer, Total, Hombre, Mujer, Total, Hombre, Mujer, Total, Hombre, Mujer, Total, Hombre, Mujer, Total, Hombre, Mujer
 Total, 59785854|0.499206358787912|298454.784823657|, 35293400|0.539399481809472|190372.416712944|, 24492454|0.68534106842949|167856.845928201|, 23227318|0.852398606526908|197989.334965574|, 11764027|1.09896545782892|129282.593179668|, 11463291|1.01698878892776|116580.384312164|, 20060921|0.882294743363048|176996.451453214|, 13067048|0.98327513073164|128485.033304766|, 6993873|1.21881992890121|85242.717926041|, 4117197|1.82769168889887|75249.6673845935|, 2791806|2.01124938349947|56150.1809635012|, 1325391|2.8638387746912|37957.0613742674|, 1530324|2.78379907400541|42601.1453412826|, 1066902|3.10229801905729|33098.4796112826|, 463422|4.59281148110066|21284.0988219463|, 514637|4.63049679635543|23830.2497978597|, 379935|4.87949149178645|18538.8959993189|, 134702|8.58077791808788|11558.4794712227|, 2751665|2.58193319466568|71046.1520409973|, 1513476|3.27110274603064|49507.3549965148|, 1238189|3.22595234728605|39943.3871093377|, 7583792|1.63995340511174|124370.655140592|, 4710206|1.77939734356633|83813.280440502|, 2873586|2.10065812632029|60364.217825802|
 15 a 19 años, 2969753|1.84983747944939|54935.6040410727|, 2010270|2.19391408996076|44103.5967762541|, 959483|2.9019421303653|27843.6414106929|, 1725900|2.33984616420587|40383.4049480292|, 1113443|2.85442348168044|31782.3784471271|, 612457|3.54141644150911|21689.6528951735|, 584691|3.83775646816501|22439.0166712787|, 461809|4.40242306054182|20330.7859116576|, 122882|6.87086392247321|8443.05500521353|, 27761|19.6102096431448|5443.99029903343|, 21614|19.3296709032267|4177.91506902341|, 6147|34.6126461610824|2127.63935952173|, 8683|26.9831862661331|2342.95006348834|, 4032|34.1076384524508|1375.21998240282|, 4651|40.7845246464135|1896.88824130469|, 2171|43.0024358961289|933.582883304959|, 1039|46.098605204973|478.96450807967|, 1132|70.7910867765971|801.355102311079|, 431054|4.78204712598989|20613.2054184645|, 280234|5.7950676464637|16239.7498683911|, 150820|7.42809294519127|11203.0497799375|, 189493|6.21443250213748|11775.9145812754|, 128099|7.18050130995613|9198.1503730407|, 61394|11.2358071214649|6898.11142415219|
 20 a 29 años, 12308362|1.01632864608476|125093.408869811|, 7236614|1.18678296979091|85882.9025415047|, 5071748|1.43108519437137|72581.0347238261|, 4840393|1.5610630504222|75561.5866182227|, 2521717|1.96752191118136|49615.3345129852|, 2318676|2.0656262355172|47895.1797726408|, 4447855|1.51831619528356|67532.5028077294|, 2877295|1.80642070275282|51976.0525592717|, 1570560|2.39910992195319|37679.460790228|, 680682|4.05686284475835|27614.3351489581|, 464341|4.51579699434699|20968.6969215208|, 216341|7.19494144251632|15565.6082661542|, 192549|7.50261551959585|14446.2111568266|, 134021|9.19239273373886|12319.7366656842|, 58528|10.9480207608628|6407.6575909178|, 44242|11.5506280196216|5110.22884844098|, 29737|14.3223597696634|4259.04012470481|, 14505|19.2796000223426|2796.50598324079|, 580673|4.4128891616491|25624.4558816227|, 313246|5.57649929795|17468.1609908565|, 267427|6.21473577125348|16619.88143099|, 1521968|2.88125160814151|43851.7274753992|, 896257|3.36433158310158|30153.0573167587|, 625711|4.04107517022205|25285.4518583481|
 30 a 39 años, 14044114|0.908756433821335|127626.789548203|, 7896614|1.07317657751191|84744.6118645266|, 6147500|1.19504324816854|73465.2836811611|, 4664681|1.55791257016106|72671.6516569149|, 2139829|2.15898569831317|46198.6020783577|, 2524852|1.88792470248692|47667.3046092352|, 5289255|1.46924988605673|77712.37306075|, 3269228|1.69276450163689|55340.3310615736|, 2020027|2.17079225049241|43850.5895738543|, 1239453|2.88353196366957|35740.0234296614|, 810335|3.28264017249298|26600.382241771|, 429118|4.80071178563589|20600.718400285|, 463410|4.74248493157105|21977.1494213934|, 311037|5.32978828793685|16577.6135971501|, 152373|8.3686823626042|12751.6123763709|, 145655|8.34806736041457|12159.3775138118|, 105857|9.08641039857213|9618.6014556165|, 39798|14.7732377212929|5879.45314832016|, 383263|4.5427995525257|17410.8698489966|, 183367|6.71287004501444|12309.1884154416|, 199896|6.22062693458609|12434.7844171602|, 1858397|2.5117329763286|46677.9702801015|, 1076961|2.87085166230657|30917.9527708934|, 781436|3.36552274659513|26299.4063300831|
 40 a 49 años, 12995804|0.918202494855623|119327.796554547|, 7398022|1.05969572256189|78396.5226881872|, 5597782|1.2749580420282|71369.3717842068|, 4494653|1.50096086209262|67462.9824168718|, 2052806|2.10518332850612|43215.3296785734|, 2441847|1.95344735228537|47700.1955683598|, 4650964|1.55370888741955|72262.4410186838|, 2957024|1.7583535341174|51994.9360086996|, 1693940|2.44660587290756|41444.0355235303|, 1086608|3.07175263063444|33377.9098246842|, 714312|3.48389795749458|24885.9011781387|, 372296|5.11926595985499|19058.8223979018|, 406394|4.89253221763065|19882.9573805179|, 284488|5.36350673109724|15258.5330291639|, 121906|8.26078225552244|10070.3892164172|, 154170|8.73931650050111|13473.4042488226|, 122267|9.11626312480711|11146.1814348079|, 31903|17.2684622355024|5509.15750699232|, 405020|4.54557157882772|18410.474008568|, 165020|6.90953776021859|11402.1192119127|, 240000|5.85850581074348|14060.4139457844|, 1797995|2.42354939840193|43575.2970057968|, 1102105|2.89287299597347|31882.4979322734|, 695890|3.42807532897745|23855.6334068212|
 50 a 59 años, 10791558|0.974239898802528|105135.663738416|, 6421034|1.17359162211715|75356.7170772939|, 4370524|1.36773059647665|59776.9939743553|, 4185953|1.55572854932921|65122.0658825027|, 2080999|2.18047244360493|45375.6097466942|, 2104954|1.9621951350215|41303.3049824405|, 3624064|1.71505907485801|62154.8385106623|, 2409771|1.99768286716829|48139.58240499|, 1214293|2.59946977703185|31565.1795396134|, 777949|3.7955650039114|29527.5599922787|, 552985|4.14067314487239|22897.3013901726|, 224964|6.62527068701239|14904.4739483306|, 309797|5.64446700946717|17486.389461319|, 218414|6.58561298113763|14383.9007366219|, 91383|10.2575023397886|9373.61336316898|, 107398|9.33933963711424|10030.263983468|, 77088|10.1802046813327|7847.71618474579|, 30310|18.8203411315843|5704.4453969832|, 396102|5.03496927156449|19943.6139840524|, 181042|7.12479692883017|12898.8748558927|, 215060|6.48721145382145|13951.3969525884|, 1390295|2.77820837786529|38625.2921670423|, 900735|3.18676709795687|28704.3266197818|, 489560|4.08634574890216|20005.1142483254|
 60 años y más, 6641460|1.22242343167516|81186.7632453328|, 4314432|1.40435138135449|60589.7853896002|, 2327028|1.96473079685993|45719.8357675537|, 3304785|1.73045154197243|57187.7029913736|, 1849972|2.18472991505111|40416.8917040693|, 1454813|2.50962304182721|36510.3222634977|, 1456130|2.68725354249084|39129.9050082719|, 1086884|3.02706487422436|32900.6837875647|, 369246|5.21043871771999|19239.3365476324|, 304297|5.92452607107382|18028.1550984955|, 228072|6.87466550908393|15679.1871198779|, 76225|10.6357140613974|8107.07304330014|, 149259|8.62572689735083|12874.6737097169|, 114678|9.19483555668239|10544.4535196922|, 34581|18.4671814320011|6386.13601100031|, 60735|13.1841497814302|8007.39336975162|, 43947|14.7013671449939|6460.80981921046|, 16788|25.069251012252|4208.62585993687|, 552612|4.10314015866703|22674.444893613|, 389552|4.76768838663192|18572.6254638924|, 163060|6.56727236124414|10708.5943122447|, 813642|3.32988353018268|27093.330952649|, 601327|3.8217145757178|22981.0016067266|, 212315|6.35448283001012|13491.520220536|
 No especificado, 34803|18.8549302633382|6562.08137954959|, 16414|20.1665842499484|3310.14313878652|, 18389|23.0168826876679|4232.57455743526|, 10953|22.7055265939946|2486.93632784023|, 5261|27.1172288766052|1426.6374111982|, 5692|30.0007600484048|1707.6432619552|, 7962|25.5192799058737|2031.84506610566|, 5037|32.3810676706937|1631.03437857284|, 2925|39.567875512733|1157.36035874744|, 447|74.7381055695489|334.079331895884|, 147|100|147|, 300|100|300|, 232|100|232|, 232|100|232|, , 266|100|266|, , 266|100|266|, 2941|51.2215991240109|1506.42723023716|, 1015|67.0397561804451|680.453525231518|, 1926|69.7813519854296|1343.98883923937|, 12002|40.7836368738107|4894.85209759476|, 4722|47.9049584018613|2262.07213573589|, 7280|43.0164232126595|3131.59560988161|

