anio,funcion,sexo,horas_semana
2003,Total,Mujeres,42.521
2004,Total,Mujeres,42.503
2005,Total,Mujeres,42.745
2006,Total,Mujeres,41.229
2007,Total,Mujeres,40.732
2008,Total,Mujeres,40.158
2009,Total,Mujeres,37.289
2010,Total,Mujeres,37.733
2011,Total,Mujeres,38.543
2012,Total,Mujeres,38.741
2013,Total,Mujeres,38.91
2014,Total,Mujeres,38.682
2015,Total,Mujeres,39.078
2016,Total,Mujeres,39.449
2017,Total,Mujeres,39.626
2018,Total,Mujeres,39.918
2019,Total,Mujeres,39.602
2020,Total,Mujeres,38.82
2021,Total,Mujeres,37.788
2022,Total,Mujeres,37.162
2023,Total,Mujeres,36.648
2024,Total,Mujeres,35.358
2003,Total,Hombres,10.407
2004,Total,Hombres,10.787
2005,Total,Hombres,11.28
2006,Total,Hombres,11.263
2007,Total,Hombres,11.427
2008,Total,Hombres,11.549
2009,Total,Hombres,11.134
2010,Total,Hombres,11.626
2011,Total,Hombres,12.209
2012,Total,Hombres,12.583
2013,Total,Hombres,12.928
2014,Total,Hombres,13.214
2015,Total,Hombres,13.734
2016,Total,Hombres,14.233
2017,Total,Hombres,14.68
2018,Total,Hombres,15.185
2019,Total,Hombres,15.24
2020,Total,Hombres,15.103
2021,Total,Hombres,15.011
2022,Total,Hombres,14.922
2023,Total,Hombres,15.057
2024,Total,Hombres,14.713
2003,Alimentos,Mujeres,16.767
2004,Alimentos,Mujeres,16.741
2005,Alimentos,Mujeres,17.131
2006,Alimentos,Mujeres,16.3
2007,Alimentos,Mujeres,15.951
2008,Alimentos,Mujeres,15.645
2009,Alimentos,Mujeres,14.623
2010,Alimentos,Mujeres,14.481
2011,Alimentos,Mujeres,14.416
2012,Alimentos,Mujeres,14.164
2013,Alimentos,Mujeres,14.006
2014,Alimentos,Mujeres,13.724
2015,Alimentos,Mujeres,13.833
2016,Alimentos,Mujeres,13.88
2017,Alimentos,Mujeres,13.917
2018,Alimentos,Mujeres,13.946
2019,Alimentos,Mujeres,13.786
2020,Alimentos,Mujeres,13.936
2021,Alimentos,Mujeres,13.717
2022,Alimentos,Mujeres,13.731
2023,Alimentos,Mujeres,13.535
2024,Alimentos,Mujeres,13.014
2003,Alimentos,Hombres,4.471
2004,Alimentos,Hombres,4.461
2005,Alimentos,Hombres,4.573
2006,Alimentos,Hombres,4.359
2007,Alimentos,Hombres,4.296
2008,Alimentos,Hombres,4.25
2009,Alimentos,Hombres,4.08
2010,Alimentos,Hombres,4.069
2011,Alimentos,Hombres,4.08
