Trimestre,Indicador,Categoria,Total,Hombres,Mujeres
T1_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Población económicamente activa,41.0858,43.9186,36.9613
T1_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Ocupados,42.0615,44.8783,37.9417
T1_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Trabajadores subordinados y remunerados,43.7393,46.2482,40.0949
T1_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Empleadores,45.3338,46.2169,42.3764
T1_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Trabajadores por cuenta propia,37.3693,41.2572,31.8825
T1_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Trabajadores sin pago,33.0597,33.954,32.4387
T2_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Población económicamente activa,40.7048,43.5903,36.5592
T2_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Ocupados,41.7562,44.6343,37.6027
T2_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Trabajadores subordinados y remunerados,43.5467,46.0941,39.8956
T2_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Empleadores,44.8737,46.4578,39.697
T2_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Trabajadores por cuenta propia,36.527,40.238,31.4463
T2_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Trabajadores sin pago,32.7585,34.574,31.5857
T3_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Población económicamente activa,41.0559,43.8868,36.9326
T3_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Ocupados,42.217,45.044,38.0804
T3_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Trabajadores subordinados y remunerados,44.1764,46.6774,40.5386
T3_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Empleadores,45.8599,47.1488,41.7096
T3_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Trabajadores por cuenta propia,36.6969,40.37,31.592
T3_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Trabajadores sin pago,32.5685,34.0516,31.5445
T4_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Población económicamente activa,41.3078,44.1924,37.1661
T4_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Ocupados,42.3101,45.2048,38.1406
T4_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Trabajadores subordinados y remunerados,44.0802,46.6269,40.4437
T4_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Empleadores,46.157,47.7414,41.3468
T4_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Trabajadores por cuenta propia,37.0487,40.84,31.7943
T4_2025,Promedio de horas en actividades economicas (poblacion 15+ anos),Trabajadores sin pago,32.805,34.5082,31.6452
