periodo,sexo,poblacion,nivel_ingreso,nivel_instruccion
Cuarto trimestre del 2025,Hombre,1479654.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2025,Mujer,1057731.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2025,Hombre,1526642.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2025,Mujer,1103181.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2025,Hombre,1537860.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2025,Mujer,1088967.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2025,Hombre,1647255.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2025,Mujer,1102389.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2024,Hombre,1521303.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2024,Mujer,1092762.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2024,Hombre,1619880.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2024,Mujer,1184792.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2024,Hombre,1662080.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2024,Mujer,1198633.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2024,Hombre,1730911.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2024,Mujer,1200155.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2023,Hombre,1518633.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2023,Mujer,1175171.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2023,Hombre,1539652.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2023,Mujer,1183396.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2023,Hombre,1552943.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2023,Mujer,1138631.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2023,Hombre,1557690.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2023,Mujer,1173860.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2022,Hombre,1365334.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2022,Mujer,1116441.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2022,Hombre,1516558.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2022,Mujer,1088288.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2022,Hombre,1518808.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2022,Mujer,1135387.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2022,Hombre,1512887.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2022,Mujer,1133049.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2021,Hombre,1230136.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2021,Mujer,878655.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2021,Hombre,1267424.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2021,Mujer,913356.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2021,Hombre,1240031.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2021,Mujer,963756.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2021,Hombre,1226798.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2021,Mujer,857365.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2020,Hombre,1149729.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2020,Mujer,934336.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2020,Hombre,1168400.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2020,Mujer,795346.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2020,Hombre,1299000.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2020,Mujer,1066211.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2019,Hombre,1142181.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2019,Mujer,1015908.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2019,Hombre,1207645.0,Hasta un salario mínimo,Primaria incompleta
