anio,funcion,sexo,decil,valor_millones
2003,Total,Total,Total,1532004.433
2003,Total,Total,I,117089.771
2003,Total,Total,II,147377.589
2003,Total,Total,III,151610.122
2003,Total,Total,IV,145343.646
2003,Total,Total,V,158983.819
2003,Total,Total,VI,167979.161
2003,Total,Total,VII,163791.205
2003,Total,Total,VIII,157822.599
2003,Total,Total,IX,163665.23
2003,Total,Total,X,158341.291
2004,Total,Total,Total,1678307.932
2004,Total,Total,I,128582.399
2004,Total,Total,II,157653.318
2004,Total,Total,III,163603.76
2004,Total,Total,IV,159826.714
2004,Total,Total,V,172081.936
2004,Total,Total,VI,183397.162
2004,Total,Total,VII,180420.354
2004,Total,Total,VIII,173819.581
2004,Total,Total,IX,182186.95
2004,Total,Total,X,176735.758
2005,Total,Total,Total,1859525.862
2005,Total,Total,I,143872.203
2005,Total,Total,II,171730.66
2005,Total,Total,III,178697.515
2005,Total,Total,IV,177797.719
2005,Total,Total,V,188153.449
2005,Total,Total,VI,202679.428
2005,Total,Total,VII,200444.862
2005,Total,Total,VIII,193384.566
2005,Total,Total,IX,204467.825
2005,Total,Total,X,198297.634
2006,Total,Total,Total,2007315.301
2006,Total,Total,I,155189.082
2006,Total,Total,II,180694.438
2006,Total,Total,III,190168.843
2006,Total,Total,IV,192767.546
2006,Total,Total,V,201084.632
2006,Total,Total,VI,218374.467
2006,Total,Total,VII,217581.971
2006,Total,Total,VIII,209633.683
2006,Total,Total,IX,224171.955
2006,Total,Total,X,217648.684
2007,Total,Total,Total,2240024.639
2007,Total,Total,I,173424.837
2007,Total,Total,II,197124.109
2007,Total,Total,III,209481.792
2007,Total,Total,IV,216165.877
2007,Total,Total,V,222006.272
2007,Total,Total,VI,243356.376
2007,Total,Total,VII,244075.314
2007,Total,Total,VIII,234784.786
2007,Total,Total,IX,253580.046
2007,Total,Total,X,246025.231
2008,Total,Total,Total,2404326.966
2008,Total,Total,I,186238.632
2008,Total,Total,II,206840.225
2008,Total,Total,III,221975.704
2008,Total,Total,IV,233057.752
