,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Ingreso laboral promedio en la población ocupada1, según sexo y entidad federativa 
Primer trimestre de 2005 al cuarto trimestre de 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Entidad federativa,Sexo,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,,,
,,,,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,ll*,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV**,I,II,III,IV
,INacional,Nacional,Hombres," $7,421.18 "," $7,410.56 "," $7,318.11 "," $7,540.13 "," $7,572.22 "," $7,654.53 "," $7,734.31 "," $7,593.16 "," $7,673.48 "," $7,812.78 "," $7,664.61 "," $7,506.99 "," $7,691.19 "," $7,576.58 "," $7,419.35 "," $7,133.33 "," $7,218.32 "," $7,148.18 "," $6,881.76 "," $6,666.51 "," $6,898.79 "," $6,825.31 "," $6,770.16 "," $6,653.13 "," $6,796.45 "," $6,768.12 "," $6,711.04 "," $6,510.59 "," $6,692.09 "," $6,677.22 "," $6,576.14 "," $6,576.84 "," $6,743.60 "," $6,516.52 "," $6,429.98 "," $6,427.70 "," $6,392.82 "," $6,282.68 "," $6,236.81 "," $6,148.14 "," $6,327.47 "," $6,359.37 "," $6,431.23 "," $6,385.54 "," $6,520.58 "," $6,537.02 "," $6,628.60 "," $6,554.14 "," $6,592.06 "," $6,543.55 "," $6,471.32 "," $6,392.86 "," $6,621.87 "," $6,640.88 "," $6,533.68 "," $6,481.87 "," $6,734.27 "," $6,712.09 "," $6,665.16 "," $6,736.55 "," $7,117.17 ",ND," $6,625.27 "," $6,801.05 "," $6,998.67 "," $6,951.83 "," $6,916.17 "," $6,835.84 "," $7,169.93 "," $7,124.25 "," $6,893.67 "," $7,067.65 "," $7,480.62 "," $7,528.17 "," $7,583.29 "," $7,598.45 "," $8,029.47 "," $8,137.81 "," $8,067.53 "," $8,025.83 "
,IINacional,,Mujeres," $5,353.32 "," $5,356.61 "," $5,423.90 "," $5,587.89 "," $5,631.87 "," $5,672.52 "," $5,698.60 "," $5,565.39 "," $5,661.02 "," $5,697.51 "," $5,742.51 "," $5,477.63 "," $5,592.41 "," $5,590.82 "," $5,545.05 "," $5,348.79 "," $5,463.36 "," $5,462.59 "," $5,285.93 "," $5,076.62 "," $5,169.15 "," $5,202.95 "," $5,242.06 "," $5,200.83 "," $5,272.10 "," $5,219.79 "," $5,183.81 "," $4,970.99 "," $5,184.87 "," $5,134.33 "," $5,058.38 "," $5,105.93 "," $5,206.71 "," $5,132.86 "," $5,142.84 "," $4,966.35 "," $5,010.37 "," $4,980.89 "," $4,963.47 "," $4,829.80 "," $4,967.84 "," $4,965.56 "," $5,075.91 "," $4,921.09 "," $5,068.10 "," $5,130.02 "," $5,120.14 "," $5,108.08 "," $5,171.80 "," $5,150.15 "," $5,129.34 "," $4,983.61 "," $5,208.51 "," $5,242.16 "," $5,149.72 "," $5,071.78 "," $5,207.10 "," $5,227.02 "," $5,189.90 "," $5,204.84 "," $5,531.62 ",ND," $5,601.25 "," $5,535.24 "," $5,746.50 "," $5,560.91 "," $5,581.78 "," $5,447.65 "," $5,763.28 "," $5,655.87 "," $5,578.38 "," $5,522.43 "," $5,860.84 "," $5,935.87 "," $5,971.40 "," $6,013.84 "," $6,296.22 "," $6,450.51 "," $6,433.15 "," $6,431.81 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aguascalientes,Hombres," $7,956.99 "," $8,049.33 "," $8,228.39 "," $8,162.13 "," $7,811.13 "," $8,516.04 "," $8,477.55 "," $8,013.47 "," $8,144.79 "," $8,275.45 "," $8,262.58 "," $8,080.32 "," $8,735.38 "," $8,301.53 "," $8,261.03 "," $7,947.52 "," $7,768.50 "," $7,798.79 "," $7,304.99 "," $7,314.74 "," $7,631.37 "," $7,234.95 "," $7,095.20 "," $6,986.94 "," $7,323.36 "," $7,132.48 "," $7,158.75 "," $6,554.22 "," $7,233.25 "," $7,075.40 "," $6,954.28 "," $7,310.34 "," $7,123.40 "," $7,014.38 "," $6,584.90 "," $7,038.43 "," $6,933.45 "," $6,992.11 "," $7,017.70 "," $6,515.67 "," $6,730.48 "," $6,736.84 "," $6,969.30 "," $7,148.30 "," $7,301.08 "," $7,475.10 "," $7,281.12 "," $7,260.29 "," $7,342.92 "," $7,124.16 "," $7,088.18 "," $6,917.02 "," $6,846.32 "," $7,282.34 "," $6,981.49 "," $6,690.16 "," $6,991.78 "," $7,086.87 "," $7,749.58 "," $7,422.62 "," $7,955.51 ",ND," $7,737.31 "," $7,977.81 "," $7,627.08 "," $7,440.61 "," $7,912.68 "," $7,648.11 "," $8,323.85 "," $8,379.50 "," $7,562.82 "," $7,660.38 "," $7,975.51 "," $8,083.15 "," $7,762.19 "," $8,059.59 "," $8,701.45 "," $8,436.12 "," $9,396.86 "," $9,371.84 "
,,,Mujeres," $5,738.09 "," $6,014.70 "," $6,458.98 "," $5,927.88 "," $6,015.62 "," $6,232.87 "," $6,182.74 "," $5,525.24 "," $5,833.10 "," $6,159.73 "," $5,838.77 "," $5,962.26 "," $6,214.35 "," $5,967.96 "," $6,106.06 "," $5,834.45 "," $5,979.21 "," $5,868.18 "," $5,782.58 "," $5,360.19 "," $5,648.67 "," $5,210.72 "," $5,492.63 "," $5,445.91 "," $5,442.80 "," $5,559.18 "," $5,652.57 "," $5,067.46 "," $5,581.78 "," $5,403.87 "," $5,417.25 "," $5,494.06 "," $5,438.98 "," $5,563.23 "," $5,091.15 "," $5,096.72 "," $5,076.99 "," $5,241.02 "," $5,194.33 "," $5,110.88 "," $5,102.05 "," $5,367.23 "," $5,442.40 "," $5,335.51 "," $5,296.86 "," $5,447.55 "," $5,222.89 "," $5,401.84 "," $5,543.31 "," $5,325.86 "," $5,143.12 "," $5,254.30 "," $5,540.16 "," $5,426.39 "," $5,164.76 "," $5,281.52 "," $5,533.90 "," $5,427.80 "," $5,792.98 "," $5,609.64 "," $5,955.31 ",ND," $6,327.75 "," $6,184.87 "," $6,200.38 "," $6,083.20 "," $6,006.03 "," $5,777.49 "," $6,380.07 "," $6,031.20 "," $6,058.74 "," $5,916.81 "," $6,384.73 "," $6,027.33 "," $6,232.16 "," $6,326.38 "," $6,884.64 "," $6,364.25 "," $6,998.68 "," $7,033.84 "
,,Baja California,Hombres," $11,121.33 "," $11,554.33 "," $11,719.86 "," $11,799.27 "," $12,144.42 "," $12,533.68 "," $12,188.14 "," $11,789.56 "," $11,546.61 "," $11,985.69 "," $11,620.65 "," $11,280.86 "," $11,675.50 "," $11,013.03 "," $10,855.55 "," $9,902.32 "," $10,107.75 "," $9,776.73 "," $9,468.96 "," $9,130.98 "," $9,627.07 "," $9,517.96 "," $9,487.39 "," $9,134.23 "," $9,639.33 "," $9,321.12 "," $9,111.82 "," $8,920.94 "," $9,022.82 "," $9,081.07 "," $8,533.40 "," $8,909.57 "," $8,771.21 "," $8,550.80 "," $8,679.15 "," $8,448.00 "," $8,399.87 "," $8,122.90 "," $7,954.97 "," $8,039.97 "," $8,072.83 "," $8,132.42 "," $7,935.57 "," $8,139.42 "," $8,079.40 "," $8,226.73 "," $8,863.93 "," $8,325.34 "," $8,294.30 "," $8,280.82 "," $8,104.33 "," $8,226.23 "," $8,419.87 "," $8,884.42 "," $8,063.05 "," $8,138.04 "," $9,315.04 "," $9,174.02 "," $9,422.03 "," $9,053.83 "," $9,221.81 ",ND," $9,145.19 "," $9,222.42 "," $9,702.47 "," $9,498.60 "," $9,697.53 "," $9,531.70 "," $10,653.65 "," $10,513.32 "," $10,406.83 "," $10,520.64 "," $10,930.09 "," $11,024.22 "," $11,466.61 "," $11,150.55 "," $11,695.63 "," $11,659.70 "," $11,975.12 "," $11,345.59 "
,,,Mujeres," $8,681.55 "," $8,730.94 "," $9,139.68 "," $8,970.43 "," $9,342.42 "," $9,310.64 "," $9,361.32 "," $8,840.91 "," $9,178.57 "," $8,807.51 "," $8,885.91 "," $8,820.42 "," $8,626.70 "," $8,479.87 "," $8,372.21 "," $7,648.96 "," $7,777.43 "," $8,130.35 "," $7,212.44 "," $7,024.87 "," $7,605.45 "," $6,997.32 "," $7,318.54 "," $7,686.96 "," $7,507.50 "," $7,214.59 "," $7,136.52 "," $6,955.21 "," $7,351.42 "," $7,064.54 "," $6,959.98 "," $6,947.99 "," $7,160.80 "," $7,225.18 "," $6,935.30 "," $6,788.95 "," $6,715.79 "," $6,958.07 "," $6,642.45 "," $6,331.02 "," $6,426.12 "," $6,534.43 "," $6,474.56 "," $6,352.11 "," $6,573.65 "," $6,660.28 "," $6,673.81 "," $6,749.12 "," $6,434.10 "," $6,473.54 "," $6,417.15 "," $6,495.63 "," $6,714.91 "," $6,629.88 "," $6,563.24 "," $6,575.37 "," $7,497.50 "," $7,395.07 "," $7,419.40 "," $7,164.12 "," $7,853.61 ",ND," $7,381.61 "," $7,237.75 "," $7,558.73 "," $7,779.33 "," $8,138.36 "," $7,577.27 "," $8,508.61 "," $8,212.51 "," $8,728.91 "," $8,236.63 "," $8,826.82 "," $9,385.48 "," $9,145.23 "," $8,976.98 "," $9,489.76 "," $9,391.80 "," $9,466.11 "," $9,494.68 "
,,Baja California Sur,Hombres," $10,687.53 "," $10,994.35 "," $11,123.71 "," $11,140.54 "," $10,619.29 "," $12,007.44 "," $11,603.66 "," $12,667.50 "," $11,926.35 "," $12,261.24 "," $12,419.56 "," $13,760.81 "," $12,316.84 "," $13,219.05 "," $11,928.12 "," $11,778.73 "," $11,539.80 "," $10,870.69 "," $10,938.46 "," $10,197.32 "," $9,835.00 "," $10,711.61 "," $10,457.08 "," $10,104.63 "," $10,425.55 "," $10,397.03 "," $9,859.14 "," $10,652.77 "," $10,023.84 "," $10,215.21 "," $10,480.38 "," $10,784.39 "," $9,767.32 "," $9,817.14 "," $10,001.36 "," $9,731.53 "," $10,250.87 "," $9,667.83 "," $8,856.33 "," $9,884.49 "," $9,875.30 "," $9,872.42 "," $9,572.03 "," $9,851.86 "," $9,867.77 "," $9,719.61 "," $10,557.24 "," $10,518.00 "," $10,423.64 "," $10,476.26 "," $10,417.13 "," $10,167.38 "," $10,439.60 "," $10,632.55 "," $10,662.79 "," $10,382.75 "," $10,453.19 "," $10,483.24 "," $9,895.84 "," $9,983.12 "," $10,312.70 ",ND," $9,881.47 "," $10,168.66 "," $9,685.59 "," $10,278.36 "," $11,714.22 "," $11,405.97 "," $10,886.45 "," $11,315.25 "," $11,456.64 "," $10,887.65 "," $11,517.98 "," $11,975.00 "," $12,022.31 "," $11,809.19 "," $12,013.45 "," $12,115.73 "," $12,055.70 "," $12,348.69 "
