,,,,,,,,
Año,Trimestre,"Indicadores de pobreza laboral, según sexo de la jefatura del hogar
Primer trimestre de 2005 al cuarto trimestre de 2024",,,,,,
,,Porcentaje de la población en pobreza laboral,,,,"Ingreso laboral promedio per cápita 
a pesos constantes (real)",,
,,Nacional,Sexo de la jefatura del hogar,,,Nacional,Sexo de la jefatura del hogar,
,,,Hombres,Mujeres,,,Hombres,Mujeres
,,,,,,,,
,,,,,,,,
2005,I,38.1,36.2,45.2,," $2,605.92 "," $2,700.40 "," $2,268.47 "
,II,38.8,36.4,46.7,," $2,608.59 "," $2,710.83 "," $2,285.59 "
,III,38.1,35.5,46.8,," $2,641.13 "," $2,747.83 "," $2,271.76 "
,IV,36.6,34.4,43.8,," $2,729.02 "," $2,838.33 "," $2,357.85 "
2006,I,36.2,34.0,43.7,," $2,722.13 "," $2,821.10 "," $2,386.72 "
,II,35.2,32.8,42.8,," $2,783.78 "," $2,894.60 "," $2,423.35 "
,III,35.8,33.5,43.2,," $2,828.56 "," $2,945.92 "," $2,432.37 "
,IV,36.3,34.2,43.3,," $2,772.54 "," $2,886.37 "," $2,388.75 "
2007,I,36.5,34.3,43.3,," $2,768.23 "," $2,874.17 "," $2,416.61 "
,II,34.7,32.4,41.7,," $2,833.26 "," $2,944.79 "," $2,479.18 "
,III,35.3,33.2,41.7,," $2,798.32 "," $2,901.06 "," $2,485.49 "
,IV,36.5,34.3,43.4,," $2,792.74 "," $2,889.38 "," $2,492.80 "
2008,I,36.6,34.7,42.8,," $2,786.45 "," $2,873.86 "," $2,505.62 "
,II,36.1,34.3,41.8,," $2,785.54 "," $2,862.24 "," $2,542.26 "
,III,37.6,35.9,43.1,," $2,723.96 "," $2,808.74 "," $2,446.46 "
,IV,39.3,37.4,45.3,," $2,587.34 "," $2,651.63 "," $2,403.00 "
2009,I,38.9,37.1,44.6,," $2,599.77 "," $2,673.43 "," $2,369.61 "
,II,40.4,38.8,46.2,," $2,597.54 "," $2,656.28 "," $2,376.07 "
,III,40.8,39.3,46.6,," $2,531.60 "," $2,591.25 "," $2,313.45 "
,IV,40.3,38.8,46.1,," $2,480.38 "," $2,545.86 "," $2,240.00 "
2010,I,41.3,39.8,46.7,," $2,483.65 "," $2,555.24 "," $2,221.86 "
,II,40.1,38.6,45.7,," $2,528.56 "," $2,604.95 "," $2,247.97 "
,III,40.1,38.6,45.6,," $2,503.29 "," $2,570.00 "," $2,258.37 "
,IV,41.7,40.2,47.2,," $2,418.11 "," $2,480.67 "," $2,187.78 "
2011,I,40.0,38.5,45.6,," $2,473.78 "," $2,545.64 "," $2,210.18 "
,II,39.9,38.6,44.7,," $2,496.81 "," $2,562.55 "," $2,257.94 "
,III,40.6,39.4,44.9,," $2,487.08 "," $2,545.63 "," $2,275.20 "
,IV,41.5,40.1,46.4,," $2,444.09 "," $2,499.48 "," $2,243.96 "
2012,I,40.8,39.3,46.1,," $2,475.52 "," $2,532.58 "," $2,269.06 "
,II,40.0,38.7,44.8,," $2,531.97 "," $2,589.60 "," $2,322.82 "
,III,42.0,40.4,47.6,," $2,507.63 "," $2,570.07 "," $2,283.96 "
,IV,42.7,41.4,47.0,," $2,463.57 "," $2,532.93 "," $2,217.90 "
2013,I,41.7,40.4,46.3,," $2,492.87 "," $2,559.23 "," $2,253.45 "
,II,42.3,41.2,46.4,," $2,465.97 "," $2,523.30 "," $2,257.23 "
,III,42.9,41.7,47.4,," $2,441.77 "," $2,494.14 "," $2,259.19 "
,IV,42.8,41.7,46.6,," $2,447.39 "," $2,507.56 "," $2,234.80 "
2014,I,42.8,41.6,47.4,," $2,394.91 "," $2,458.90 "," $2,165.92 "
,II,42.9,41.3,48.5,," $2,358.27 "," $2,425.07 "," $2,118.80 "
,III,43.8,42.4,48.6,," $2,348.07 "," $2,411.55 "," $2,127.41 "
,IV,45.4,44.4,48.9,," $2,311.18 "," $2,360.65 "," $2,141.42 "
2015,I,43.8,42.3,48.9,," $2,367.05 "," $2,419.40 "," $2,187.31 "
,II,44.0,42.7,48.3,," $2,394.32 "," $2,452.54 "," $2,196.93 "
,III,43.5,42.1,47.8,," $2,450.87 "," $2,500.93 "," $2,283.09 "
,IV,43.3,42.0,47.5,," $2,439.79 "," $2,501.80 "," $2,237.71 "
2016,I,42.9,41.6,47.1,," $2,444.53 "," $2,495.77 "," $2,274.74 "
,II,41.9,40.6,46.3,," $2,479.51 "," $2,527.58 "," $2,320.66 "
,III,41.1,39.5,46.0,," $2,538.88 "," $2,602.01 "," $2,334.45 "
,IV,41.4,40.2,45.4,," $2,512.86 "," $2,561.79 "," $2,356.38 "
2017,I,40.2,38.8,44.4,," $2,518.86 "," $2,575.66 "," $2,335.41 "
,II,41.5,40.0,46.2,," $2,506.41 "," $2,574.16 "," $2,291.58 "
,III,42.6,41.1,47.3,," $2,488.28 "," $2,549.81 "," $2,292.20 "
,IV,42.5,41.0,47.1,," $2,452.30 "," $2,521.15 "," $2,233.82 "
2018,I,40.7,39.3,44.9,," $2,539.85 "," $2,604.80 "," $2,334.86 "
,II,40.1,38.5,45.0,," $2,584.40 "," $2,647.44 "," $2,387.77 "
,III,40.2,38.6,45.2,," $2,553.49 "," $2,631.93 "," $2,311.50 "
,IV,40.7,39.2,45.2,," $2,524.96 "," $2,592.65 "," $2,319.51 "
2019,I,39.6,38.0,44.4,," $2,607.01 "," $2,678.82 "," $2,392.38 "
,II,39.0,37.3,43.9,," $2,642.74 "," $2,718.29 "," $2,421.84 "
,III,39.6,38.1,44.0,," $2,637.52 "," $2,703.97 "," $2,444.71 "
,IV,38.9,37.3,43.4,," $2,671.49 "," $2,746.67 "," $2,456.30 "
2020,I,36.6,35.1,41.1,," $2,806.61 "," $2,881.83 "," $2,594.44 "
,ll*,ND,ND,ND,,ND,ND,ND
,III,46.0,44.5,50.3,," $2,460.50 "," $2,535.52 "," $2,253.08 "
,IV,42.0,40.6,45.5,," $2,603.83 "," $2,682.84 "," $2,392.70 "
2021,I,42.0,40.5,46.2,," $2,671.44 "," $2,757.08 "," $2,438.82 "
,II,39.9,38.4,43.9,," $2,747.68 "," $2,837.07 "," $2,508.58 "
,III,40.7,39.4,44.4,," $2,769.23 "," $2,861.90 "," $2,524.23 "
,IV,40.3,38.7,44.4,," $2,745.32 "," $2,834.76 "," $2,514.38 "
2022,I,38.8,37.0,43.4,," $2,850.25 "," $2,922.26 "," $2,667.58 "
,II,38.3,36.8,42.1,," $2,880.91 "," $2,970.39 "," $2,656.68 "
,III,40.1,38.4,44.3,," $2,807.49 "," $2,901.75 "," $2,572.53 "
,IV,38.5,36.6,43.0,," $2,862.65 "," $2,953.47 "," $2,640.33 "
2023,I,37.7,36.0,42.0,," $3,058.60 "," $3,154.88 "," $2,825.13 "
,II,37.8,35.8,42.6,," $3,076.13 "," $3,204.12 "," $2,775.62 "
,III,37.3,35.5,41.5,," $3,124.26 "," $3,244.73 "," $2,844.03 "
,IV**,37.0,35.3,41.1,," $3,139.61 "," $3,251.70 "," $2,880.86 "
2024,I,35.8,33.9,40.1,," $3,277.58 "," $3,411.01 "," $2,966.75 "
,II,35.0,33.3,38.9,," $3,350.84 "," $3,454.15 "," $3,113.58 "
,III,35.1,33.2,39.4,," $3,346.45 "," $3,470.34 "," $3,062.03 "
,IV,35.4,33.6,39.5,," $3,294.97 "," $3,410.98 "," $3,034.24 "
