,,,,,,,,,,,
,,Año,Trimestre,,"Indicadores de pobreza laboral en la población ocupada1, según sexo
Primer trimestre de 2005 al cuarto trimestre de 2024",,,,,,
,,,,,Porcentaje de la población ocupada en pobreza laboral,,,,Ingreso laboral promedio de la población ocupada a pesos constantes2 (real),,
,,,,,Total de ocupados,Sexo,,,Total de ocupados,Sexo,
,,,,,,Hombres,Mujeres,,,Hombres,Mujeres
,,,,,,,,,,,
,,,,,,,,,,,
,,2005,I,,16.5,14.0,20.9,," $6,677.89 "," $7,421.18 "," $5,353.32 "
,,,II,,17.1,14.5,21.6,," $6,651.84 "," $7,410.56 "," $5,356.61 "
,,,III,,17.6,15.0,22.1,," $6,618.29 "," $7,318.11 "," $5,423.90 "
,,,IV,,16.1,13.5,20.6,," $6,813.61 "," $7,540.13 "," $5,587.89 "
,,2006,I,,15.6,13.1,19.8,," $6,851.87 "," $7,572.22 "," $5,631.87 "
,,,II,,15.7,13.3,19.7,," $6,919.19 "," $7,654.53 "," $5,672.52 "
,,,III,,16.4,13.8,20.7,," $6,972.37 "," $7,734.31 "," $5,698.60 "
,,,IV,,16.1,13.5,20.2,," $6,832.15 "," $7,593.16 "," $5,565.39 "
,,2007,I,,15.5,13.0,19.7,," $6,920.56 "," $7,673.48 "," $5,661.02 "
,,,II,,15.6,13.2,19.5,," $7,018.15 "," $7,812.78 "," $5,697.51 "
,,,III,,16.1,13.7,20.1,," $6,940.37 "," $7,664.61 "," $5,742.51 "
,,,IV,,17.8,14.7,22.8,," $6,732.91 "," $7,506.99 "," $5,477.63 "
,,2008,I,,16.2,13.3,21.0,," $6,899.63 "," $7,691.19 "," $5,592.41 "
,,,II,,16.2,13.4,20.8,," $6,828.08 "," $7,576.58 "," $5,590.82 "
,,,III,,16.8,14.2,21.1,," $6,718.85 "," $7,419.35 "," $5,545.05 "
,,,IV,,17.0,14.3,21.4,," $6,463.46 "," $7,133.33 "," $5,348.79 "
,,2009,I,,15.4,12.8,19.6,," $6,562.44 "," $7,218.32 "," $5,463.36 "
,,,II,,16.3,14.1,20.1,," $6,513.67 "," $7,148.18 "," $5,462.59 "
,,,III,,17.2,14.7,21.3,," $6,271.18 "," $6,881.76 "," $5,285.93 "
,,,IV,,17.7,14.9,22.1,," $6,058.91 "," $6,666.51 "," $5,076.62 "
,,2010,I,,16.2,13.3,20.9,," $6,246.33 "," $6,898.79 "," $5,169.15 "
,,,II,,16.9,14.3,21.2,," $6,210.37 "," $6,825.31 "," $5,202.95 "
,,,III,,17.3,14.6,21.6,," $6,190.69 "," $6,770.16 "," $5,242.06 "
,,,IV,,16.6,14.4,20.3,," $6,109.29 "," $6,653.13 "," $5,200.83 "
,,2011,I,,15.2,12.7,19.4,," $6,227.62 "," $6,796.45 "," $5,272.10 "
,,,II,,15.8,13.2,20.1,," $6,185.15 "," $6,768.12 "," $5,219.79 "
,,,III,,16.5,13.8,21.1,," $6,134.41 "," $6,711.04 "," $5,183.81 "
,,,IV,,17.5,14.6,22.1,," $5,913.17 "," $6,510.59 "," $4,970.99 "
,,2012,I,,15.7,12.9,20.3,," $6,117.38 "," $6,692.09 "," $5,184.87 "
,,,II,,16.6,13.8,20.9,," $6,082.49 "," $6,677.22 "," $5,134.33 "
,,,III,,17.6,14.6,22.4,," $5,992.11 "," $6,576.14 "," $5,058.38 "
,,,IV,,17.3,14.8,21.2,," $6,008.75 "," $6,576.84 "," $5,105.93 "
,,2013,I,,15.3,12.9,19.1,," $6,159.80 "," $6,743.60 "," $5,206.71 "
,,,II,,16.3,14.0,20.1,," $5,983.38 "," $6,516.52 "," $5,132.86 "
,,,III,,17.0,14.9,20.4,," $5,933.69 "," $6,429.98 "," $5,142.84 "
,,,IV,,17.2,14.7,21.3,," $5,864.14 "," $6,427.70 "," $4,966.35 "
,,2014,I,,15.6,13.1,19.7,," $5,867.52 "," $6,392.82 "," $5,010.37 "
,,,II,,16.2,13.8,20.1,," $5,787.92 "," $6,282.68 "," $4,980.89 "
,,,III,,16.8,14.7,20.4,," $5,756.44 "," $6,236.81 "," $4,963.47 "
,,,IV,,18.0,15.1,22.8,," $5,649.47 "," $6,148.14 "," $4,829.80 "
,,2015,I,,16.6,13.8,21.2,," $5,812.16 "," $6,327.47 "," $4,967.84 "
,,,II,,17.1,14.1,22.1,," $5,830.02 "," $6,359.37 "," $4,965.56 "
,,,III,,17.3,14.4,21.9,," $5,914.23 "," $6,431.23 "," $5,075.91 "
,,,IV,,17.3,14.1,22.3,," $5,819.86 "," $6,385.54 "," $4,921.09 "
,,2016,I,,15.6,12.7,20.4,," $5,966.52 "," $6,520.58 "," $5,068.10 "
,,,II,,15.9,13.2,20.3,," $5,997.26 "," $6,537.02 "," $5,130.02 "
,,,III,,16.1,13.1,20.7,," $6,047.74 "," $6,628.60 "," $5,120.14 "
,,,IV,,15.4,12.7,19.9,," $5,998.10 "," $6,554.14 "," $5,108.08 "
,,2017,I,,14.4,11.6,18.9,," $6,049.37 "," $6,592.06 "," $5,171.80 "
,,,II,,15.0,12.5,19.1,," $6,010.40 "," $6,543.55 "," $5,150.15 "
,,,III,,15.2,12.9,19.0,," $5,959.51 "," $6,471.32 "," $5,129.34 "
,,,IV,,15.5,12.7,19.9,," $5,853.52 "," $6,392.86 "," $4,983.61 "
,,2018,I,,14.0,11.4,18.3,," $6,080.89 "," $6,621.87 "," $5,208.51 "
,,,II,,14.5,11.9,18.8,," $6,101.52 "," $6,640.88 "," $5,242.16 "
,,,III,,14.9,12.4,19.1,," $6,004.29 "," $6,533.68 "," $5,149.72 "
,,,IV,,14.8,12.1,19.1,," $5,933.52 "," $6,481.87 "," $5,071.78 "
,,2019,I,,14.4,11.4,19.1,," $6,142.57 "," $6,734.27 "," $5,207.10 "
,,,II,,14.7,11.7,19.4,," $6,128.58 "," $6,712.09 "," $5,227.02 "
,,,III,,15.2,12.5,19.3,," $6,085.84 "," $6,665.16 "," $5,189.90 "
,,,IV,,14.6,11.7,18.9,," $6,127.79 "," $6,736.55 "," $5,204.84 "
,,2020,I,,12.1,9.8,15.7,," $6,486.05 "," $7,117.17 "," $5,531.62 "
,,,ll*,,ND,ND,ND,,ND,ND,ND
,,,III,,13.7,12.1,16.2,," $6,235.77 "," $6,625.27 "," $5,601.25 "
,,,IV,,13.1,11.1,16.3,," $6,305.08 "," $6,801.05 "," $5,535.24 "
,,2021,I,,12.9,10.7,16.2,," $6,515.04 "," $6,998.67 "," $5,746.50 "
,,,II,,13.3,10.9,17.0,," $6,404.13 "," $6,951.83 "," $5,560.91 "
,,,III,,13.7,11.6,17.1,," $6,390.60 "," $6,916.17 "," $5,581.78 "
,,,IV,,13.1,11.0,16.5,," $6,284.85 "," $6,835.84 "," $5,447.65 "
,,2022,I,,12.1,9.9,15.5,," $6,611.78 "," $7,169.93 "," $5,763.28 "
,,,II,,12.3,10.0,15.8,," $6,534.04 "," $7,124.25 "," $5,655.87 "
,,,III,,13.0,10.8,16.4,," $6,367.66 "," $6,893.67 "," $5,578.38 "
,,,IV,,12.7,10.3,16.3,," $6,436.77 "," $7,067.65 "," $5,522.43 "
,,2023,I,,12.5,9.8,16.3,," $6,820.85 "," $7,480.62 "," $5,860.84 "
,,,II,,12.8,10.0,16.8,," $6,875.72 "," $7,528.17 "," $5,935.87 "
,,,III,,13.0,10.4,16.8,," $6,921.75 "," $7,583.29 "," $5,971.40 "
,,,IV**,,12.5,10.0,16.2,," $6,945.33 "," $7,598.45 "," $6,013.84 "
,,2024,I,,12.0,9.2,15.9,," $7,318.09 "," $8,029.47 "," $6,296.22 "
,,,II,,12.0,9.4,15.7,," $7,441.06 "," $8,137.81 "," $6,450.51 "
,,,III,,12.5,9.9,16.1,," $7,397.27 "," $8,067.53 "," $6,433.15 "
,,,IV,,11.9,9.7,15.0,," $7,363.33 "," $8,025.83 "," $6,431.81 "
,,,,,,,,,,,
,,"Fuente: estimaciones del CONEVAL con base en la ENOE del primer trimestre de 2005 al primer trimestre de 2020 y a partir del primer trimestre de 2023 en adelante, y con base en la ENOE Nueva Edición (ENOEN) del tercer trimestre de 2020 al cuarto trimestre de 2022. ",,,,,,,,,
,,"1Esta información es generada para la población ocupada, no es comparable con la información para la población total presentada del cuadro 1 al cuadro 13.",,,,,,,,,
,,2Pesos del 1er trimestre de 2020 (deflactado con el INPC).,,,,,,,,,
,,"*Debido a la contingencia sanitaria por la COVID-19, el INEGI suspendió la recolección de información de la ENOE referente al segundo trimestre 2020, por lo cual no se cuenta con el insumo necesario para el cálculo de los indicadores correspondientes a este periodo. Para mayor información, consultar el comunicado NÚM. 295/20 del INEGI, disponible en: https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2020/Calendario/Camb20-Cal2021_1erSem.pdf",,,,,,,,,
